Year,Value,UNIT_MEASURE,SERIES
2000,0.0,PER_1000_UNINFECTED_POP,SH_HIV_INCD
2001,0.0,PER_1000_UNINFECTED_POP,SH_HIV_INCD
2002,0.0,PER_1000_UNINFECTED_POP,SH_HIV_INCD
2003,0.0,PER_1000_UNINFECTED_POP,SH_HIV_INCD
2004,0.0,PER_1000_UNINFECTED_POP,SH_HIV_INCD
2005,0.0,PER_1000_UNINFECTED_POP,SH_HIV_INCD
2006,0.0,PER_1000_UNINFECTED_POP,SH_HIV_INCD
2007,0.0,PER_1000_UNINFECTED_POP,SH_HIV_INCD
2008,0.0,PER_1000_UNINFECTED_POP,SH_HIV_INCD
2009,0.0,PER_1000_UNINFECTED_POP,SH_HIV_INCD
2010,0.0,PER_1000_UNINFECTED_POP,SH_HIV_INCD
2011,0.01,PER_1000_UNINFECTED_POP,SH_HIV_INCD
2012,0.01,PER_1000_UNINFECTED_POP,SH_HIV_INCD
2013,0.01,PER_1000_UNINFECTED_POP,SH_HIV_INCD
2014,0.01,PER_1000_UNINFECTED_POP,SH_HIV_INCD
2015,0.01,PER_1000_UNINFECTED_POP,SH_HIV_INCD
2016,0.01,PER_1000_UNINFECTED_POP,SH_HIV_INCD
2017,0.01,PER_1000_UNINFECTED_POP,SH_HIV_INCD
2018,0.01,PER_1000_UNINFECTED_POP,SH_HIV_INCD
