Year,Value,UNIT_MEASURE,SERIES
2000,9.0118,USD,DC_TOF_HLTHL
2001,5.3438300000000005,USD,DC_TOF_HLTHL
2002,5.43791,USD,DC_TOF_HLTHL
2003,9.14858,USD,DC_TOF_HLTHL
2004,4.5776900000000005,USD,DC_TOF_HLTHL
2005,4.83248,USD,DC_TOF_HLTHL
2006,18.164820000000002,USD,DC_TOF_HLTHL
2007,11.42505,USD,DC_TOF_HLTHL
2008,6.98618,USD,DC_TOF_HLTHL
2009,2.6198099999999998,USD,DC_TOF_HLTHL
2010,7.80168,USD,DC_TOF_HLTHL
2011,6.04845,USD,DC_TOF_HLTHL
2012,6.62092,USD,DC_TOF_HLTHL
2013,5.5622,USD,DC_TOF_HLTHL
2014,10.998330000000001,USD,DC_TOF_HLTHL
2015,5.19602,USD,DC_TOF_HLTHL
2016,37.98346,USD,DC_TOF_HLTHL
2017,36.070859999999996,USD,DC_TOF_HLTHL
2018,13.08596,USD,DC_TOF_HLTHL
2010,7.745489999999999,USD,dollars)
2011,5.9944,USD,dollars)
2012,6.56192,USD,dollars)
2013,6.56192,USD,dollars)
2014,10.24779,USD,dollars)
2015,4.2851099999999995,USD,dollars)
2016,36.21419,USD,dollars)
2017,33.72485,USD,dollars)
2018,9.95302,USD,dollars)
