Year,SERIES,UNIT_MEASURE,Age,Sex,Composite breakdown,Value
2000,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease [3.4.1]",Percent,30 to exact 70 years old,,,24.4
2005,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease [3.4.1]",Percent,30 to exact 70 years old,,,22.8
2010,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease [3.4.1]",Percent,30 to exact 70 years old,,,20.9
2015,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease [3.4.1]",Percent,30 to exact 70 years old,,,18.2
2016,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease [3.4.1]",Percent,30 to exact 70 years old,,,17.8
2000,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease [3.4.1]",Percent,30 to exact 70 years old,Female,,18.8
2005,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease [3.4.1]",Percent,30 to exact 70 years old,Female,,17.2
2010,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease [3.4.1]",Percent,30 to exact 70 years old,Female,,15.7
2015,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease [3.4.1]",Percent,30 to exact 70 years old,Female,,13.2
2016,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease [3.4.1]",Percent,30 to exact 70 years old,Female,,12.9
2000,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease [3.4.1]",Percent,30 to exact 70 years old,Male,,30.5
2005,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease [3.4.1]",Percent,30 to exact 70 years old,Male,,28.8
2010,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease [3.4.1]",Percent,30 to exact 70 years old,Male,,26.6
2015,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease [3.4.1]",Percent,30 to exact 70 years old,Male,,23.6
2016,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease [3.4.1]",Percent,30 to exact 70 years old,Male,,23.1
2000,SH_DTH_RNCOM,Number,,,Non-communicable disease: Cancer,4952.0
2005,SH_DTH_RNCOM,Number,,,Non-communicable disease: Cancer,5983.0
2010,SH_DTH_RNCOM,Number,,,Non-communicable disease: Cancer,6617.0
2015,SH_DTH_RNCOM,Number,,,Non-communicable disease: Cancer,7212.0
2016,SH_DTH_RNCOM,Number,,,Non-communicable disease: Cancer,7262.0
2000,SH_DTH_RNCOM,Number,,Female,Non-communicable disease: Cancer,2035.0
2005,SH_DTH_RNCOM,Number,,Female,Non-communicable disease: Cancer,2490.0
2010,SH_DTH_RNCOM,Number,,Female,Non-communicable disease: Cancer,2726.0
2015,SH_DTH_RNCOM,Number,,Female,Non-communicable disease: Cancer,2955.0
2016,SH_DTH_RNCOM,Number,,Female,Non-communicable disease: Cancer,2955.0
2000,SH_DTH_RNCOM,Number,,,Non-communicable disease: Cardiovascular disease,17774.0
2005,SH_DTH_RNCOM,Number,,,Non-communicable disease: Cardiovascular disease,19965.0
2010,SH_DTH_RNCOM,Number,,,Non-communicable disease: Cardiovascular disease,20095.0
2015,SH_DTH_RNCOM,Number,,,Non-communicable disease: Cardiovascular disease,20044.0
2016,SH_DTH_RNCOM,Number,,,Non-communicable disease: Cardiovascular disease,20279.0
2000,SH_DTH_RNCOM,Number,,Female,Non-communicable disease: Cardiovascular disease,9160.0
2005,SH_DTH_RNCOM,Number,,Female,Non-communicable disease: Cardiovascular disease,10313.0
2010,SH_DTH_RNCOM,Number,,Female,Non-communicable disease: Cardiovascular disease,10777.0
2015,SH_DTH_RNCOM,Number,,Female,Non-communicable disease: Cardiovascular disease,10809.0
2016,SH_DTH_RNCOM,Number,,Female,Non-communicable disease: Cardiovascular disease,10982.0
2000,SH_DTH_RNCOM,Number,,,Non-communicable disease: Diabetes,1021.0
2005,SH_DTH_RNCOM,Number,,,Non-communicable disease: Diabetes,2025.0
2010,SH_DTH_RNCOM,Number,,,Non-communicable disease: Diabetes,2522.0
2015,SH_DTH_RNCOM,Number,,,Non-communicable disease: Diabetes,2567.0
2016,SH_DTH_RNCOM,Number,,,Non-communicable disease: Diabetes,2552.0
2000,SH_DTH_RNCOM,Number,,Female,Non-communicable disease: Diabetes,657.0
2005,SH_DTH_RNCOM,Number,,Female,Non-communicable disease: Diabetes,1234.0
2010,SH_DTH_RNCOM,Number,,Female,Non-communicable disease: Diabetes,1518.0
2015,SH_DTH_RNCOM,Number,,Female,Non-communicable disease: Diabetes,1522.0
2016,SH_DTH_RNCOM,Number,,Female,Non-communicable disease: Diabetes,1511.0
2000,SH_DTH_RNCOM,Number,,,Non-communicable disease: Chronic respiratory disease,1298.0
2005,SH_DTH_RNCOM,Number,,,Non-communicable disease: Chronic respiratory disease,1474.0
2010,SH_DTH_RNCOM,Number,,,Non-communicable disease: Chronic respiratory disease,1475.0
2015,SH_DTH_RNCOM,Number,,,Non-communicable disease: Chronic respiratory disease,1447.0
2016,SH_DTH_RNCOM,Number,,,Non-communicable disease: Chronic respiratory disease,1448.0
2000,SH_DTH_RNCOM,Number,,Male,Non-communicable disease: Cancer,2917.0
2005,SH_DTH_RNCOM,Number,,Male,Non-communicable disease: Cancer,3493.0
2010,SH_DTH_RNCOM,Number,,Male,Non-communicable disease: Cancer,3891.0
2015,SH_DTH_RNCOM,Number,,Male,Non-communicable disease: Cancer,4257.0
2016,SH_DTH_RNCOM,Number,,Male,Non-communicable disease: Cancer,4307.0
2000,SH_DTH_RNCOM,Number,,Male,Non-communicable disease: Cardiovascular disease,8614.0
2005,SH_DTH_RNCOM,Number,,Male,Non-communicable disease: Cardiovascular disease,9652.0
2010,SH_DTH_RNCOM,Number,,Male,Non-communicable disease: Cardiovascular disease,9318.0
2015,SH_DTH_RNCOM,Number,,Male,Non-communicable disease: Cardiovascular disease,9235.0
2016,SH_DTH_RNCOM,Number,,Male,Non-communicable disease: Cardiovascular disease,9298.0
2000,SH_DTH_RNCOM,Number,,Male,Non-communicable disease: Diabetes,365.0
2005,SH_DTH_RNCOM,Number,,Male,Non-communicable disease: Diabetes,791.0
2010,SH_DTH_RNCOM,Number,,Male,Non-communicable disease: Diabetes,1004.0
2015,SH_DTH_RNCOM,Number,,Male,Non-communicable disease: Diabetes,1045.0
2016,SH_DTH_RNCOM,Number,,Male,Non-communicable disease: Diabetes,1040.0
2000,SH_DTH_RNCOM,Number,,Female,Non-communicable disease: Chronic respiratory disease,564.0
2005,SH_DTH_RNCOM,Number,,Female,Non-communicable disease: Chronic respiratory disease,584.0
2010,SH_DTH_RNCOM,Number,,Female,Non-communicable disease: Chronic respiratory disease,597.0
2015,SH_DTH_RNCOM,Number,,Female,Non-communicable disease: Chronic respiratory disease,575.0
2016,SH_DTH_RNCOM,Number,,Female,Non-communicable disease: Chronic respiratory disease,580.0
2000,SH_DTH_RNCOM,Number,,Male,Non-communicable disease: Chronic respiratory disease,735.0
2005,SH_DTH_RNCOM,Number,,Male,Non-communicable disease: Chronic respiratory disease,890.0
2010,SH_DTH_RNCOM,Number,,Male,Non-communicable disease: Chronic respiratory disease,879.0
2015,SH_DTH_RNCOM,Number,,Male,Non-communicable disease: Chronic respiratory disease,872.0
2016,SH_DTH_RNCOM,Number,,Male,Non-communicable disease: Chronic respiratory disease,868.0
