Year,SERIES,UNIT_MEASURE,Value
2000,"Proportion of the population who are refugees, by country of origin [10.7.4]",Percent,11865
2001,"Proportion of the population who are refugees, by country of origin [10.7.4]",Percent,10643
2002,"Proportion of the population who are refugees, by country of origin [10.7.4]",Percent,9757
2003,"Proportion of the population who are refugees, by country of origin [10.7.4]",Percent,7385
2004,"Proportion of the population who are refugees, by country of origin [10.7.4]",Percent,5730
2005,"Proportion of the population who are refugees, by country of origin [10.7.4]",Percent,2837
2006,"Proportion of the population who are refugees, by country of origin [10.7.4]",Percent,5042
2007,"Proportion of the population who are refugees, by country of origin [10.7.4]",Percent,2038
2008,"Proportion of the population who are refugees, by country of origin [10.7.4]",Percent,1942
2009,"Proportion of the population who are refugees, by country of origin [10.7.4]",Percent,1839
2010,"Proportion of the population who are refugees, by country of origin [10.7.4]",Percent,1672
2011,"Proportion of the population who are refugees, by country of origin [10.7.4]",Percent,1575
2012,"Proportion of the population who are refugees, by country of origin [10.7.4]",Percent,1417
2013,"Proportion of the population who are refugees, by country of origin [10.7.4]",Percent,750
2014,"Proportion of the population who are refugees, by country of origin [10.7.4]",Percent,625
2015,"Proportion of the population who are refugees, by country of origin [10.7.4]",Percent,544
2016,"Proportion of the population who are refugees, by country of origin [10.7.4]",Percent,534
2017,"Proportion of the population who are refugees, by country of origin [10.7.4]",Percent,525
2018,"Proportion of the population who are refugees, by country of origin [10.7.4]",Percent,508
2019,"Proportion of the population who are refugees, by country of origin [10.7.4]",Percent,499
