Year,SERIES,UNIT_MEASURE,Value
2000,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Percent,52
2001,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Percent,51
2002,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Percent,51
2003,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Percent,50
2004,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Percent,50
2005,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Percent,49
2006,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Percent,48
2007,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Percent,47
2008,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Percent,46
2009,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Percent,45
2010,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Percent,44
2011,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Percent,44
2012,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Percent,44
2013,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Percent,43
2014,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Percent,43
2015,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Percent,45
2016,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Percent,44
2017,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Percent,44
2018,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Percent,45
