Year,SERIES,UNIT_MEASURE,Value
2000,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],Percent,85
2001,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],Percent,91
2002,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],Percent,80
2003,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],Percent,87
2004,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],Percent,84
2005,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],Percent,93
2006,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],Percent,87
2007,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],Percent,95
2008,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],Percent,91
2009,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],Percent,90
2010,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],Percent,89
2011,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],Percent,88
2012,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],Percent,92
2013,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],Percent,89
2014,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],Percent,86
2015,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],Percent,82
2016,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],Percent,78
2017,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],Percent,75
2018,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],Percent,73
2000,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],Percent,74
2001,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],Percent,86
2002,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],Percent,90
2003,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],Percent,85
2004,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],Percent,88
2005,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],Percent,90
2006,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],Percent,93
2007,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],Percent,95
2008,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],Percent,92
2009,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],Percent,88
2010,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],Percent,91
2011,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],Percent,88
2012,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],Percent,94
2013,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],Percent,93
2014,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],Percent,92
2015,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],Percent,88
2016,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],Percent,78
2017,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],Percent,80
2018,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],Percent,76
