Year,SERIES,UNIT_MEASURE,Value
2001,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income [3.8.2],Percent,14.56
2004,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income [3.8.2],Percent,5.58
2007,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income [3.8.2],Percent,10.25
2011,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income [3.8.2],Percent,8.56
2015,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income [3.8.2],Percent,8.18
2001,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income [3.8.2],Percent,3.59
2004,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income [3.8.2],Percent,0.4
2007,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income [3.8.2],Percent,1.9
2011,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income [3.8.2],Percent,1.27
2015,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income [3.8.2],Percent,1.39
