Year,SERIES,UNIT_MEASURE,Education level,Income or wealth quantile,Sex,Degree of urbanisation,Value
2006,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Upper secondary education,,,,59.59
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Upper secondary education,,,,97.31914
2000,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Lower secondary education,,Female,,97.56
2006,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Lower secondary education,,Female,,98.69
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Lower secondary education,,Female,,96.92379
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Lower secondary education,Quintile 1 (poorest),Female,,86.99261
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Lower secondary education,Quintile 2,Female,,96.82923000000001
2000,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Primary education,Quintile 2,Female,,99.61
2006,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Primary education,Quintile 2,Female,,99.11
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Primary education,Quintile 2,Female,,99.89095
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Primary education,Quintile 3,Female,,99.40881
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Primary education,Quintile 4,Female,,100.0
2000,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Upper secondary education,Quintile 4,Female,,52.86
2006,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Upper secondary education,Quintile 4,Female,,58.96
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Upper secondary education,Quintile 4,Female,,93.48602
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Upper secondary education,Quintile 5 (richest),Female,,81.98621
2012,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Upper secondary education,,Female,,98.90768
2000,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Lower secondary education,,Male,,97.4
2006,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",Percent,Lower secondary education,,Male,,98.77
