Year,SERIES,UNIT_MEASURE,Value
2000,IT_USE_ii99,Per 100 population,1.083
2001,IT_USE_ii99,Per 100 population,1.2009999999999998
2002,IT_USE_ii99,Per 100 population,2.648
2003,IT_USE_ii99,Per 100 population,3.965
2004,IT_USE_ii99,Per 100 population,15.469000000000001
2005,IT_USE_ii99,Per 100 population,21.326999999999998
2006,IT_USE_ii99,Per 100 population,25.122
2007,IT_USE_ii99,Per 100 population,27.92
2008,IT_USE_ii99,Per 100 population,34.66
2009,IT_USE_ii99,Per 100 population,37.74
2010,IT_USE_ii99,Per 100 population,42.75
2011,IT_USE_ii99,Per 100 population,43.888000000000005
2012,IT_USE_ii99,Per 100 population,45.065
2013,IT_USE_ii99,Per 100 population,48.521
2014,IT_USE_ii99,Per 100 population,49.918
2015,IT_USE_ii99,Per 100 population,52.6
2016,IT_USE_ii99,Per 100 population,60.257
2017,IT_USE_ii99,Per 100 population,64.892
2018,IT_USE_ii99,Per 100 population,70.12
