Year,SERIES,UNIT_MEASURE,Value
2000,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]",USD,9.0118
2001,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]",USD,5.3438300000000005
2002,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]",USD,5.43791
2003,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]",USD,9.14858
2004,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]",USD,4.5776900000000005
2005,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]",USD,4.83248
2006,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]",USD,18.164820000000002
2007,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]",USD,11.42505
2008,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]",USD,6.98618
2009,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]",USD,2.6198099999999998
2010,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]",USD,7.80168
2011,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]",USD,6.04845
2012,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]",USD,6.62092
2013,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]",USD,5.5622
2014,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]",USD,10.998330000000001
2015,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]",USD,5.19602
2016,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]",USD,37.98346
2017,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]",USD,36.070859999999996
2018,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]",USD,13.08596
2010,dollars),USD,7.745489999999999
2011,dollars),USD,5.9944
2012,dollars),USD,6.56192
2013,dollars),USD,6.56192
2014,dollars),USD,10.24779
2015,dollars),USD,4.2851099999999995
2016,dollars),USD,36.21419
2017,dollars),USD,33.72485
2018,dollars),USD,9.95302
