Year,SERIES,UNIT_MEASURE,Value
2009,Proportion of population above statutory pensionable age receiving a pension [1.3.1],Percent,29.6
2001,Proportion of unemployed persons receiving unemployment cash benefit [1.3.1],Percent,1.2
2005,Proportion of unemployed persons receiving unemployment cash benefit [1.3.1],Percent,1.6
2007,Proportion of unemployed persons receiving unemployment cash benefit [1.3.1],Percent,1.6
2009,Proportion of unemployed persons receiving unemployment cash benefit [1.3.1],Percent,2.4
2010,Proportion of unemployed persons receiving unemployment cash benefit [1.3.1],Percent,2.6
2011,Proportion of unemployed persons receiving unemployment cash benefit [1.3.1],Percent,2.0
2007,Proportion of population covered by labour market programs [1.3.1],Percent,2.03118
2007,Proportion of population covered by social assistance programs [1.3.1],Percent,20.50947
2015,Proportion of population covered by social assistance programs [1.3.1],Percent,17.4175
2007,Proportion of population covered by social insurance programs [1.3.1],Percent,41.523790000000005
2015,Proportion of population covered by social insurance programs [1.3.1],Percent,40.16296
