Year,SERIES,UNIT_MEASURE,Age,Sex,Value
2015,AG_PRD_FIESMSI,Percent,15 years old and over,Female,9.618269999999999
2016,AG_PRD_FIESMSI,Percent,15 years old and over,Female,9.06745
2017,AG_PRD_FIESMSI,Percent,15 years old and over,Female,7.78605
2018,AG_PRD_FIESMSI,Percent,15 years old and over,Female,8.17431
2015,AG_PRD_FIESMSI,Percent,15 years old and over,Male,9.186869999999999
2016,AG_PRD_FIESMSI,Percent,15 years old and over,Male,10.96086
2017,AG_PRD_FIESMSI,Percent,15 years old and over,Male,9.20166
2018,AG_PRD_FIESMSI,Percent,15 years old and over,Male,9.61538
2015,AG_PRD_FIESMSI,Percent,,,9.59245
2016,AG_PRD_FIESMSI,Percent,,,10.26853
2017,AG_PRD_FIESMSI,Percent,,,8.6838
2018,AG_PRD_FIESMSI,Percent,,,9.18705
2015,AG_PRD_FIESSI,Percent,15 years old and over,Female,1.36182
2016,AG_PRD_FIESSI,Percent,15 years old and over,Female,1.36499
2017,AG_PRD_FIESSI,Percent,15 years old and over,Female,1.00075
2018,AG_PRD_FIESSI,Percent,15 years old and over,Female,1.17074
2015,AG_PRD_FIESSI,Percent,15 years old and over,Male,1.72603
2016,AG_PRD_FIESSI,Percent,15 years old and over,Male,2.09713
2017,AG_PRD_FIESSI,Percent,15 years old and over,Male,1.53019
2018,AG_PRD_FIESSI,Percent,15 years old and over,Male,1.55626
2015,AG_PRD_FIESSI,Percent,,,1.5382
2016,AG_PRD_FIESSI,Percent,,,1.76184
2017,AG_PRD_FIESSI,Percent,,,1.32249
2018,AG_PRD_FIESSI,Percent,,,1.45702
2015,AG_PRD_FIESMSIN,THOUSANDS,15 years old and over,Female,143.90642
2016,AG_PRD_FIESMSIN,THOUSANDS,15 years old and over,Female,134.20191
2017,AG_PRD_FIESMSIN,THOUSANDS,15 years old and over,Female,114.2907
2018,AG_PRD_FIESMSIN,THOUSANDS,15 years old and over,Female,119.12528999999999
2015,AG_PRD_FIESMSIN,THOUSANDS,15 years old and over,Male,130.17484
2016,AG_PRD_FIESMSIN,THOUSANDS,15 years old and over,Male,153.56874
2017,AG_PRD_FIESMSIN,THOUSANDS,15 years old and over,Male,127.78299999999999
2018,AG_PRD_FIESMSIN,THOUSANDS,15 years old and over,Male,132.46102
2015,AG_PRD_FIESMSIN,THOUSANDS,,,329.26817
2016,AG_PRD_FIESMSIN,THOUSANDS,,,348.00609
2017,AG_PRD_FIESMSIN,THOUSANDS,,,291.24677
2018,AG_PRD_FIESMSIN,THOUSANDS,,,305.51409
2015,AG_PRD_FIESSIN,THOUSANDS,15 years old and over,Female,20.37518
2016,AG_PRD_FIESSIN,THOUSANDS,15 years old and over,Female,20.20242
2017,AG_PRD_FIESSIN,THOUSANDS,15 years old and over,Female,14.6899
2018,AG_PRD_FIESSIN,THOUSANDS,15 years old and over,Female,17.06139
2015,AG_PRD_FIESSIN,THOUSANDS,15 years old and over,Male,24.45721
2016,AG_PRD_FIESSIN,THOUSANDS,15 years old and over,Male,29.3821
2017,AG_PRD_FIESSIN,THOUSANDS,15 years old and over,Male,21.2497
2018,AG_PRD_FIESSIN,THOUSANDS,15 years old and over,Male,21.43889
2015,AG_PRD_FIESSIN,THOUSANDS,,,52.79993
2016,AG_PRD_FIESSIN,THOUSANDS,,,59.70975
2017,AG_PRD_FIESSIN,THOUSANDS,,,44.35517
2018,AG_PRD_FIESSIN,THOUSANDS,,,48.45317
