Year,Value,UNIT_MEASURE,SERIES
2003,0.01854,Percent,Research and development expenditure as a proportion of GDP [9.5.1]
2004,0.01524,Percent,Research and development expenditure as a proportion of GDP [9.5.1]
2005,0.026969999999999997,Percent,Research and development expenditure as a proportion of GDP [9.5.1]
2006,0.01969,Percent,Research and development expenditure as a proportion of GDP [9.5.1]
2007,0.02521,Percent,Research and development expenditure as a proportion of GDP [9.5.1]
2008,0.01842,Percent,Research and development expenditure as a proportion of GDP [9.5.1]
2009,0.02106,Percent,Research and development expenditure as a proportion of GDP [9.5.1]
2012,0.26533,Percent,Research and development expenditure as a proportion of GDP [9.5.1]
2013,0.32132,Percent,Research and development expenditure as a proportion of GDP [9.5.1]
2014,0.25725,Percent,Research and development expenditure as a proportion of GDP [9.5.1]
2015,0.2186,Percent,Research and development expenditure as a proportion of GDP [9.5.1]
2016,0.21594000000000002,Percent,Research and development expenditure as a proportion of GDP [9.5.1]
2017,0.20048,Percent,Research and development expenditure as a proportion of GDP [9.5.1]
2018,0.1988,Percent,Research and development expenditure as a proportion of GDP [9.5.1]
