Year,Value,UNIT_MEASURE,SERIES
2000,99.9,Percent,Proportion of births attended by skilled health personnel [3.1.2]
2001,99.9,Percent,Proportion of births attended by skilled health personnel [3.1.2]
2002,99.9,Percent,Proportion of births attended by skilled health personnel [3.1.2]
2003,99.9,Percent,Proportion of births attended by skilled health personnel [3.1.2]
2004,99.9,Percent,Proportion of births attended by skilled health personnel [3.1.2]
2005,99.9,Percent,Proportion of births attended by skilled health personnel [3.1.2]
2006,99.9,Percent,Proportion of births attended by skilled health personnel [3.1.2]
2007,99.9,Percent,Proportion of births attended by skilled health personnel [3.1.2]
2008,99.9,Percent,Proportion of births attended by skilled health personnel [3.1.2]
2009,99.9,Percent,Proportion of births attended by skilled health personnel [3.1.2]
2010,99.9,Percent,Proportion of births attended by skilled health personnel [3.1.2]
2011,99.9,Percent,Proportion of births attended by skilled health personnel [3.1.2]
2012,99.9,Percent,Proportion of births attended by skilled health personnel [3.1.2]
2014,99.9,Percent,Proportion of births attended by skilled health personnel [3.1.2]
2015,99.9,Percent,Proportion of births attended by skilled health personnel [3.1.2]
2016,99.9,Percent,Proportion of births attended by skilled health personnel [3.1.2]
2017,99.9,Percent,Proportion of births attended by skilled health personnel [3.1.2]
2018,99.9,Percent,Proportion of births attended by skilled health personnel [3.1.2]
