Year,Value,UNIT_MEASURE,SERIES
2009,29.6,Percent,Proportion of population above statutory pensionable age receiving a pension [1.3.1]
2001,1.2,Percent,Proportion of unemployed persons receiving unemployment cash benefit [1.3.1]
2005,1.6,Percent,Proportion of unemployed persons receiving unemployment cash benefit [1.3.1]
2007,1.6,Percent,Proportion of unemployed persons receiving unemployment cash benefit [1.3.1]
2009,2.4,Percent,Proportion of unemployed persons receiving unemployment cash benefit [1.3.1]
2010,2.6,Percent,Proportion of unemployed persons receiving unemployment cash benefit [1.3.1]
2011,2.0,Percent,Proportion of unemployed persons receiving unemployment cash benefit [1.3.1]
2007,2.03118,Percent,Proportion of population covered by labour market programs [1.3.1]
2007,20.50947,Percent,Proportion of population covered by social assistance programs [1.3.1]
2015,17.4175,Percent,Proportion of population covered by social assistance programs [1.3.1]
2007,41.523790000000005,Percent,Proportion of population covered by social insurance programs [1.3.1]
2015,40.16296,Percent,Proportion of population covered by social insurance programs [1.3.1]
