Year,Value,UNIT_MEASURE,SERIES
2005,0,Number,Detected victims of human trafficking for other purposes (number) [16.2.2]
2006,0,Number,Detected victims of human trafficking for other purposes (number) [16.2.2]
2007,0,Number,Detected victims of human trafficking for other purposes (number) [16.2.2]
2008,0,Number,Detected victims of human trafficking for other purposes (number) [16.2.2]
2009,0,Number,Detected victims of human trafficking for other purposes (number) [16.2.2]
2010,0,Number,Detected victims of human trafficking for other purposes (number) [16.2.2]
2011,0,Number,Detected victims of human trafficking for other purposes (number) [16.2.2]
2012,0,Number,Detected victims of human trafficking for other purposes (number) [16.2.2]
2014,36,Number,Detected victims of human trafficking for other purposes (number) [16.2.2]
2015,28,Number,Detected victims of human trafficking for other purposes (number) [16.2.2]
2016,23,Number,Detected victims of human trafficking for other purposes (number) [16.2.2]
2005,66,Number,Detected victims of human trafficking (number) [16.2.2]
2006,71,Number,Detected victims of human trafficking (number) [16.2.2]
2007,41,Number,Detected victims of human trafficking (number) [16.2.2]
2008,33,Number,Detected victims of human trafficking (number) [16.2.2]
2009,69,Number,Detected victims of human trafficking (number) [16.2.2]
2010,25,Number,Detected victims of human trafficking (number) [16.2.2]
2011,35,Number,Detected victims of human trafficking (number) [16.2.2]
2012,39,Number,Detected victims of human trafficking (number) [16.2.2]
2014,49,Number,Detected victims of human trafficking (number) [16.2.2]
2015,35,Number,Detected victims of human trafficking (number) [16.2.2]
2016,48,Number,Detected victims of human trafficking (number) [16.2.2]
