Year,Value,UNIT_MEASURE,SERIES
2000,87.34998,Percent,Proportion of population using safely managed drinking water services [6.1.1]
2001,87.47272,Percent,Proportion of population using safely managed drinking water services [6.1.1]
2002,87.59461999999999,Percent,Proportion of population using safely managed drinking water services [6.1.1]
2003,87.71558,Percent,Proportion of population using safely managed drinking water services [6.1.1]
2004,87.83569,Percent,Proportion of population using safely managed drinking water services [6.1.1]
2005,87.95483,Percent,Proportion of population using safely managed drinking water services [6.1.1]
2006,88.07303,Percent,Proportion of population using safely managed drinking water services [6.1.1]
2007,88.19037,Percent,Proportion of population using safely managed drinking water services [6.1.1]
2008,88.30676,Percent,Proportion of population using safely managed drinking water services [6.1.1]
2009,88.42222,Percent,Proportion of population using safely managed drinking water services [6.1.1]
2010,88.53673,Percent,Proportion of population using safely managed drinking water services [6.1.1]
2011,88.65034,Percent,Proportion of population using safely managed drinking water services [6.1.1]
2012,88.70229,Percent,Proportion of population using safely managed drinking water services [6.1.1]
2013,88.79768,Percent,Proportion of population using safely managed drinking water services [6.1.1]
2014,88.81719,Percent,Proportion of population using safely managed drinking water services [6.1.1]
2015,88.82513,Percent,Proportion of population using safely managed drinking water services [6.1.1]
2016,88.83336,Percent,Proportion of population using safely managed drinking water services [6.1.1]
2017,88.84189,Percent,Proportion of population using safely managed drinking water services [6.1.1]
