Year,Value,UNIT_MEASURE,SERIES
2000,42.0,Number,Number of seats in national parliaments [5.5.1]
2001,42.0,Number,Number of seats in national parliaments [5.5.1]
2002,42.0,Number,Number of seats in national parliaments [5.5.1]
2003,42.0,Number,Number of seats in national parliaments [5.5.1]
2004,42.0,Number,Number of seats in national parliaments [5.5.1]
2005,42.0,Number,Number of seats in national parliaments [5.5.1]
2006,42.0,Number,Number of seats in national parliaments [5.5.1]
2007,42.0,Number,Number of seats in national parliaments [5.5.1]
2008,42.0,Number,Number of seats in national parliaments [5.5.1]
2009,42.0,Number,Number of seats in national parliaments [5.5.1]
2010,42.0,Number,Number of seats in national parliaments [5.5.1]
2011,42.0,Number,Number of seats in national parliaments [5.5.1]
2012,42.0,Number,Number of seats in national parliaments [5.5.1]
2013,42.0,Number,Number of seats in national parliaments [5.5.1]
2014,42.0,Number,Number of seats in national parliaments [5.5.1]
2015,42.0,Number,Number of seats in national parliaments [5.5.1]
2016,42.0,Number,Number of seats in national parliaments [5.5.1]
2017,42.0,Number,Number of seats in national parliaments [5.5.1]
2018,42.0,Number,Number of seats in national parliaments [5.5.1]
2019,42.0,Number,Number of seats in national parliaments [5.5.1]
2020,42.0,Number,Number of seats in national parliaments [5.5.1]
