Year,Value,UNIT_MEASURE,SERIES
2000,9.0118,USD,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]"
2001,5.3438300000000005,USD,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]"
2002,5.43791,USD,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]"
2003,9.14858,USD,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]"
2004,4.5776900000000005,USD,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]"
2005,4.83248,USD,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]"
2006,18.164820000000002,USD,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]"
2007,11.42505,USD,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]"
2008,6.98618,USD,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]"
2009,2.6198099999999998,USD,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]"
2010,7.80168,USD,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]"
2011,6.04845,USD,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]"
2012,6.62092,USD,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]"
2013,5.5622,USD,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]"
2014,10.998330000000001,USD,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]"
2015,5.19602,USD,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]"
2016,37.98346,USD,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]"
2017,36.070859999999996,USD,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]"
2018,13.08596,USD,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]"
2010,7.745489999999999,USD,dollars)
2011,5.9944,USD,dollars)
2012,6.56192,USD,dollars)
2013,6.56192,USD,dollars)
2014,10.24779,USD,dollars)
2015,4.2851099999999995,USD,dollars)
2016,36.21419,USD,dollars)
2017,33.72485,USD,dollars)
2018,9.95302,USD,dollars)
