Year,Value,UNIT_MEASURE,SERIES
2000,52,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
2001,51,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
2002,51,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
2003,50,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
2004,50,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
2005,49,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
2006,48,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
2007,47,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
2008,46,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
2009,45,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
2010,44,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
2011,44,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
2012,44,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
2013,43,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
2014,43,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
2015,45,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
2016,44,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
2017,44,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
2018,45,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
