Year,Value,UNIT_MEASURE,SERIES
2000,0.0,"Per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2001,0.0,"Per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2002,0.0,"Per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2003,0.0,"Per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2004,0.0,"Per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2005,0.0,"Per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2006,0.0,"Per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2007,0.0,"Per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2008,0.0,"Per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2009,0.0,"Per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2010,0.0,"Per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2011,0.01,"Per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2012,0.01,"Per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2013,0.01,"Per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2014,0.01,"Per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2015,0.01,"Per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2016,0.01,"Per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2017,0.01,"Per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2018,0.01,"Per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population [3.3.1]"
