Year,Value,UNIT_MEASURE,SERIES
2000,5840.530188,Metric Tons,Electronic waste generated (Tonnes) [12.4.2]
2001,6423.310797,Metric Tons,Electronic waste generated (Tonnes) [12.4.2]
2002,7071.186127,Metric Tons,Electronic waste generated (Tonnes) [12.4.2]
2003,7799.5171,Metric Tons,Electronic waste generated (Tonnes) [12.4.2]
2004,8710.545001,Metric Tons,Electronic waste generated (Tonnes) [12.4.2]
2005,9836.447902000002,Metric Tons,Electronic waste generated (Tonnes) [12.4.2]
2006,10969.259658,Metric Tons,Electronic waste generated (Tonnes) [12.4.2]
2007,12299.791088,Metric Tons,Electronic waste generated (Tonnes) [12.4.2]
2008,14238.835722,Metric Tons,Electronic waste generated (Tonnes) [12.4.2]
2009,16035.974038,Metric Tons,Electronic waste generated (Tonnes) [12.4.2]
2010,17776.63375,Metric Tons,Electronic waste generated (Tonnes) [12.4.2]
2011,19364.73607,Metric Tons,Electronic waste generated (Tonnes) [12.4.2]
2012,20781.265121,Metric Tons,Electronic waste generated (Tonnes) [12.4.2]
2013,21973.322746,Metric Tons,Electronic waste generated (Tonnes) [12.4.2]
2014,23098.780528,Metric Tons,Electronic waste generated (Tonnes) [12.4.2]
2015,24104.988606,Metric Tons,Electronic waste generated (Tonnes) [12.4.2]
2016,24949.927958,Metric Tons,Electronic waste generated (Tonnes) [12.4.2]
2017,25790.573868,Metric Tons,Electronic waste generated (Tonnes) [12.4.2]
2018,26483.708202,Metric Tons,Electronic waste generated (Tonnes) [12.4.2]
2019,27293.116197,Metric Tons,Electronic waste generated (Tonnes) [12.4.2]
2000,1.550446,Kilograms,"Electronic waste generated, per capita (Kg) [12.4.2]"
2001,1.703344,Kilograms,"Electronic waste generated, per capita (Kg) [12.4.2]"
2002,1.872666,Kilograms,"Electronic waste generated, per capita (Kg) [12.4.2]"
2003,2.06391,Kilograms,"Electronic waste generated, per capita (Kg) [12.4.2]"
2004,2.303768,Kilograms,"Electronic waste generated, per capita (Kg) [12.4.2]"
2005,2.600859,Kilograms,"Electronic waste generated, per capita (Kg) [12.4.2]"
2006,2.902688,Kilograms,"Electronic waste generated, per capita (Kg) [12.4.2]"
2007,3.259086,Kilograms,"Electronic waste generated, per capita (Kg) [12.4.2]"
2008,3.7829,Kilograms,"Electronic waste generated, per capita (Kg) [12.4.2]"
2009,4.279683,Kilograms,"Electronic waste generated, per capita (Kg) [12.4.2]"
2010,4.776097,Kilograms,"Electronic waste generated, per capita (Kg) [12.4.2]"
