Year,Value,UNIT_MEASURE,SERIES
2000,97.2697,Percent,Proportion of population using basic drinking water services [1.4.1]
2001,97.22156,Percent,Proportion of population using basic drinking water services [1.4.1]
2002,97.17081,Percent,Proportion of population using basic drinking water services [1.4.1]
2003,97.11740999999999,Percent,Proportion of population using basic drinking water services [1.4.1]
2004,97.0614,Percent,Proportion of population using basic drinking water services [1.4.1]
2005,97.00271,Percent,Proportion of population using basic drinking water services [1.4.1]
2006,96.94138000000001,Percent,Proportion of population using basic drinking water services [1.4.1]
2007,96.8774,Percent,Proportion of population using basic drinking water services [1.4.1]
2008,96.81075,Percent,Proportion of population using basic drinking water services [1.4.1]
2009,96.74145,Percent,Proportion of population using basic drinking water services [1.4.1]
2010,96.66949,Percent,Proportion of population using basic drinking water services [1.4.1]
2011,96.59487,Percent,Proportion of population using basic drinking water services [1.4.1]
2012,96.45003,Percent,Proportion of population using basic drinking water services [1.4.1]
2013,96.352,Percent,Proportion of population using basic drinking water services [1.4.1]
2014,96.16813,Percent,Proportion of population using basic drinking water services [1.4.1]
2015,96.15984,Percent,Proportion of population using basic drinking water services [1.4.1]
2016,96.15126,Percent,Proportion of population using basic drinking water services [1.4.1]
2017,96.14236,Percent,Proportion of population using basic drinking water services [1.4.1]
2000,95.07844,Percent,Proportion of population using basic sanitation services [1.4.1]
2001,95.08796,Percent,Proportion of population using basic sanitation services [1.4.1]
2002,95.09814,Percent,Proportion of population using basic sanitation services [1.4.1]
2003,95.10885999999999,Percent,Proportion of population using basic sanitation services [1.4.1]
2004,95.12025,Percent,Proportion of population using basic sanitation services [1.4.1]
2005,95.13579,Percent,Proportion of population using basic sanitation services [1.4.1]
2006,95.15163000000001,Percent,Proportion of population using basic sanitation services [1.4.1]
2007,95.1679,Percent,Proportion of population using basic sanitation services [1.4.1]
2008,95.18446,Percent,Proportion of population using basic sanitation services [1.4.1]
2009,95.20132,Percent,Proportion of population using basic sanitation services [1.4.1]
2010,95.21849,Percent,Proportion of population using basic sanitation services [1.4.1]
2011,95.23601,Percent,Proportion of population using basic sanitation services [1.4.1]
2012,95.25391,Percent,Proportion of population using basic sanitation services [1.4.1]
2013,95.27204,Percent,Proportion of population using basic sanitation services [1.4.1]
2014,95.29053,Percent,Proportion of population using basic sanitation services [1.4.1]
2015,95.31294,Percent,Proportion of population using basic sanitation services [1.4.1]
2016,95.33615,Percent,Proportion of population using basic sanitation services [1.4.1]
2017,95.36024,Percent,Proportion of population using basic sanitation services [1.4.1]
