Year,Value,UNIT_MEASURE,SERIES
2000,2.5,Percent,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources [6.4.2]
2001,2.5,Percent,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources [6.4.2]
2002,2.5,Percent,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources [6.4.2]
2003,2.5,Percent,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources [6.4.2]
2004,2.5,Percent,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources [6.4.2]
2005,2.5,Percent,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources [6.4.2]
2006,2.5,Percent,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources [6.4.2]
2007,2.6,Percent,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources [6.4.2]
2008,2.6,Percent,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources [6.4.2]
2009,2.9,Percent,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources [6.4.2]
2010,2.8,Percent,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources [6.4.2]
2011,2.9,Percent,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources [6.4.2]
2012,2.9,Percent,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources [6.4.2]
2013,2.7,Percent,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources [6.4.2]
2014,2.8,Percent,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources [6.4.2]
2015,2.8,Percent,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources [6.4.2]
2016,2.7,Percent,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources [6.4.2]
