Year,Value,UNIT_MEASURE,SERIES
2001,0.1,MILIONS,Number of undernourish people [2.1.1]
2002,0.1,MILIONS,Number of undernourish people [2.1.1]
2003,0.1,MILIONS,Number of undernourish people [2.1.1]
2001,3.2,Percent,Prevalence of undernourishment [2.1.1]
2002,3.1,Percent,Prevalence of undernourishment [2.1.1]
2003,2.7,Percent,Prevalence of undernourishment [2.1.1]
2004,2.5,Percent,Prevalence of undernourishment [2.1.1]
2005,2.5,Percent,Prevalence of undernourishment [2.1.1]
2006,2.5,Percent,Prevalence of undernourishment [2.1.1]
2007,2.5,Percent,Prevalence of undernourishment [2.1.1]
2008,2.5,Percent,Prevalence of undernourishment [2.1.1]
2009,2.5,Percent,Prevalence of undernourishment [2.1.1]
2010,2.5,Percent,Prevalence of undernourishment [2.1.1]
2011,2.5,Percent,Prevalence of undernourishment [2.1.1]
2012,2.5,Percent,Prevalence of undernourishment [2.1.1]
2013,2.5,Percent,Prevalence of undernourishment [2.1.1]
2014,2.5,Percent,Prevalence of undernourishment [2.1.1]
2015,2.5,Percent,Prevalence of undernourishment [2.1.1]
2016,2.5,Percent,Prevalence of undernourishment [2.1.1]
2017,2.5,Percent,Prevalence of undernourishment [2.1.1]
2018,2.5,Percent,Prevalence of undernourishment [2.1.1]
