Year,Value,UNIT_MEASURE,SERIES
2003,83.47171,Percent,Proportion of domestic budget funded by domestic taxes [17.1.2]
2004,86.24788000000001,Percent,Proportion of domestic budget funded by domestic taxes [17.1.2]
2005,59.636469999999996,Percent,Proportion of domestic budget funded by domestic taxes [17.1.2]
2006,61.56456,Percent,Proportion of domestic budget funded by domestic taxes [17.1.2]
2007,57.82445,Percent,Proportion of domestic budget funded by domestic taxes [17.1.2]
2008,51.96723,Percent,Proportion of domestic budget funded by domestic taxes [17.1.2]
2009,46.89452,Percent,Proportion of domestic budget funded by domestic taxes [17.1.2]
2010,49.15388,Percent,Proportion of domestic budget funded by domestic taxes [17.1.2]
2011,51.64659,Percent,Proportion of domestic budget funded by domestic taxes [17.1.2]
2012,50.37305,Percent,Proportion of domestic budget funded by domestic taxes [17.1.2]
2013,49.38217,Percent,Proportion of domestic budget funded by domestic taxes [17.1.2]
2014,48.5627,Percent,Proportion of domestic budget funded by domestic taxes [17.1.2]
2015,53.03225,Percent,Proportion of domestic budget funded by domestic taxes [17.1.2]
2016,54.53435,Percent,Proportion of domestic budget funded by domestic taxes [17.1.2]
2017,56.920519999999996,Percent,Proportion of domestic budget funded by domestic taxes [17.1.2]
2018,56.81211999999999,Percent,Proportion of domestic budget funded by domestic taxes [17.1.2]
