Year,Value,UNIT_MEASURE,SERIES
2000,13.718,Metric Tons,Carbon dioxide emissions from fuel combustion [9.4.1]
2001,13.501,Metric Tons,Carbon dioxide emissions from fuel combustion [9.4.1]
2002,14.219000000000001,Metric Tons,Carbon dioxide emissions from fuel combustion [9.4.1]
2003,14.546,Metric Tons,Carbon dioxide emissions from fuel combustion [9.4.1]
2004,15.187000000000001,Metric Tons,Carbon dioxide emissions from fuel combustion [9.4.1]
2005,15.857999999999999,Metric Tons,Carbon dioxide emissions from fuel combustion [9.4.1]
2006,17.462,Metric Tons,Carbon dioxide emissions from fuel combustion [9.4.1]
2007,18.415,Metric Tons,Carbon dioxide emissions from fuel combustion [9.4.1]
2008,20.24,Metric Tons,Carbon dioxide emissions from fuel combustion [9.4.1]
2009,20.204,Metric Tons,Carbon dioxide emissions from fuel combustion [9.4.1]
2010,20.483,Metric Tons,Carbon dioxide emissions from fuel combustion [9.4.1]
2011,23.401,Metric Tons,Carbon dioxide emissions from fuel combustion [9.4.1]
2012,21.645,Metric Tons,Carbon dioxide emissions from fuel combustion [9.4.1]
2013,21.51,Metric Tons,Carbon dioxide emissions from fuel combustion [9.4.1]
2014,19.172,Metric Tons,Carbon dioxide emissions from fuel combustion [9.4.1]
2015,19.305999999999997,Metric Tons,Carbon dioxide emissions from fuel combustion [9.4.1]
2016,22.019000000000002,Metric Tons,Carbon dioxide emissions from fuel combustion [9.4.1]
2017,22.328000000000003,Metric Tons,Carbon dioxide emissions from fuel combustion [9.4.1]
2000,0.60146,Kilograms per constant USD,Carbon dioxide emissions per unit of GDP [9.4.1]
2001,0.56698,Kilograms per constant USD,Carbon dioxide emissions per unit of GDP [9.4.1]
2002,0.56707,Kilograms per constant USD,Carbon dioxide emissions per unit of GDP [9.4.1]
2003,0.55783,Kilograms per constant USD,Carbon dioxide emissions per unit of GDP [9.4.1]
2004,0.54891,Kilograms per constant USD,Carbon dioxide emissions per unit of GDP [9.4.1]
2005,0.52699,Kilograms per constant USD,Carbon dioxide emissions per unit of GDP [9.4.1]
2006,0.5504899999999999,Kilograms per constant USD,Carbon dioxide emissions per unit of GDP [9.4.1]
2007,0.54843,Kilograms per constant USD,Carbon dioxide emissions per unit of GDP [9.4.1]
2008,0.57175,Kilograms per constant USD,Carbon dioxide emissions per unit of GDP [9.4.1]
2009,0.5884199999999999,Kilograms per constant USD,Carbon dioxide emissions per unit of GDP [9.4.1]
2010,0.59135,Kilograms per constant USD,Carbon dioxide emissions per unit of GDP [9.4.1]
2011,0.66919,Kilograms per constant USD,Carbon dioxide emissions per unit of GDP [9.4.1]
2012,0.6241,Kilograms per constant USD,Carbon dioxide emissions per unit of GDP [9.4.1]
2013,0.60598,Kilograms per constant USD,Carbon dioxide emissions per unit of GDP [9.4.1]
2014,0.53398,Kilograms per constant USD,Carbon dioxide emissions per unit of GDP [9.4.1]
2015,0.52167,Kilograms per constant USD,Carbon dioxide emissions per unit of GDP [9.4.1]
2016,0.5768300000000001,Kilograms per constant USD,Carbon dioxide emissions per unit of GDP [9.4.1]
2017,0.56686,Kilograms per constant USD,Carbon dioxide emissions per unit of GDP [9.4.1]
2000,1.6,Kilograms per constant USD,Carbon dioxide emissions per unit of manufacturing value added [9.4.1]
2001,1.38,Kilograms per constant USD,Carbon dioxide emissions per unit of manufacturing value added [9.4.1]
2002,1.43,Kilograms per constant USD,Carbon dioxide emissions per unit of manufacturing value added [9.4.1]
2003,0.36,Kilograms per constant USD,Carbon dioxide emissions per unit of manufacturing value added [9.4.1]
2004,0.72,Kilograms per constant USD,Carbon dioxide emissions per unit of manufacturing value added [9.4.1]
2005,0.89,Kilograms per constant USD,Carbon dioxide emissions per unit of manufacturing value added [9.4.1]
2006,0.83,Kilograms per constant USD,Carbon dioxide emissions per unit of manufacturing value added [9.4.1]
2007,0.8,Kilograms per constant USD,Carbon dioxide emissions per unit of manufacturing value added [9.4.1]
2008,0.79,Kilograms per constant USD,Carbon dioxide emissions per unit of manufacturing value added [9.4.1]
2009,0.89,Kilograms per constant USD,Carbon dioxide emissions per unit of manufacturing value added [9.4.1]
2010,0.98,Kilograms per constant USD,Carbon dioxide emissions per unit of manufacturing value added [9.4.1]
2011,1.09,Kilograms per constant USD,Carbon dioxide emissions per unit of manufacturing value added [9.4.1]
2012,1.11,Kilograms per constant USD,Carbon dioxide emissions per unit of manufacturing value added [9.4.1]
2013,1.24,Kilograms per constant USD,Carbon dioxide emissions per unit of manufacturing value added [9.4.1]
2014,1.08,Kilograms per constant USD,Carbon dioxide emissions per unit of manufacturing value added [9.4.1]
2015,1.06,Kilograms per constant USD,Carbon dioxide emissions per unit of manufacturing value added [9.4.1]
2016,0.95,Kilograms per constant USD,Carbon dioxide emissions per unit of manufacturing value added [9.4.1]
2017,0.94,Kilograms per constant USD,Carbon dioxide emissions per unit of manufacturing value added [9.4.1]
