Year,Value,UNIT_MEASURE,SERIES
2000,19.35,Percent,Renewable energy share in the total final energy consumption [7.2.1]
2001,20.27,Percent,Renewable energy share in the total final energy consumption [7.2.1]
2002,21.21,Percent,Renewable energy share in the total final energy consumption [7.2.1]
2003,20.14,Percent,Renewable energy share in the total final energy consumption [7.2.1]
2004,20.1,Percent,Renewable energy share in the total final energy consumption [7.2.1]
2005,19.73,Percent,Renewable energy share in the total final energy consumption [7.2.1]
2006,18.12,Percent,Renewable energy share in the total final energy consumption [7.2.1]
2007,14.84,Percent,Renewable energy share in the total final energy consumption [7.2.1]
2008,14.28,Percent,Renewable energy share in the total final energy consumption [7.2.1]
2009,17.43,Percent,Renewable energy share in the total final energy consumption [7.2.1]
2010,19.57,Percent,Renewable energy share in the total final energy consumption [7.2.1]
2011,14.16,Percent,Renewable energy share in the total final energy consumption [7.2.1]
2012,15.28,Percent,Renewable energy share in the total final energy consumption [7.2.1]
2013,19.48,Percent,Renewable energy share in the total final energy consumption [7.2.1]
2014,23.68,Percent,Renewable energy share in the total final energy consumption [7.2.1]
2015,25.28,Percent,Renewable energy share in the total final energy consumption [7.2.1]
2016,23.05,Percent,Renewable energy share in the total final energy consumption [7.2.1]
2017,18.79,Percent,Renewable energy share in the total final energy consumption [7.2.1]
