Year,Value,UNIT_MEASURE,SERIES
2000,6.4,Percent,Annual growth rate of real GDP per employed person [8.2.1]
2001,5.4,Percent,Annual growth rate of real GDP per employed person [8.2.1]
2002,6.3,Percent,Annual growth rate of real GDP per employed person [8.2.1]
2003,4.8,Percent,Annual growth rate of real GDP per employed person [8.2.1]
2004,6.7,Percent,Annual growth rate of real GDP per employed person [8.2.1]
2005,10.0,Percent,Annual growth rate of real GDP per employed person [8.2.1]
2006,6.0,Percent,Annual growth rate of real GDP per employed person [8.2.1]
2007,0.8,Percent,Annual growth rate of real GDP per employed person [8.2.1]
2008,-4.0,Percent,Annual growth rate of real GDP per employed person [8.2.1]
2009,-2.0,Percent,Annual growth rate of real GDP per employed person [8.2.1]
2010,4.3,Percent,Annual growth rate of real GDP per employed person [8.2.1]
2011,3.1,Percent,Annual growth rate of real GDP per employed person [8.2.1]
2012,0.1,Percent,Annual growth rate of real GDP per employed person [8.2.1]
2013,2.1,Percent,Annual growth rate of real GDP per employed person [8.2.1]
2014,2.0,Percent,Annual growth rate of real GDP per employed person [8.2.1]
2015,5.1,Percent,Annual growth rate of real GDP per employed person [8.2.1]
2016,1.2,Percent,Annual growth rate of real GDP per employed person [8.2.1]
2017,-1.8,Percent,Annual growth rate of real GDP per employed person [8.2.1]
2018,1.1,Percent,Annual growth rate of real GDP per employed person [8.2.1]
2019,3.9,Percent,Annual growth rate of real GDP per employed person [8.2.1]
