Year,Value,UNIT_MEASURE,SERIES
2003,23.9562657328075,Percent,Total government revenue as a proportion of GDP [17.1.1]
2004,22.8445369491468,Percent,Total government revenue as a proportion of GDP [17.1.1]
2005,41.4129818899751,Percent,Total government revenue as a proportion of GDP [17.1.1]
2006,44.2008029040042,Percent,Total government revenue as a proportion of GDP [17.1.1]
2007,44.90607707354079,Percent,Total government revenue as a proportion of GDP [17.1.1]
2008,43.640096795566905,Percent,Total government revenue as a proportion of GDP [17.1.1]
2009,41.7375095023106,Percent,Total government revenue as a proportion of GDP [17.1.1]
2010,42.8563874887263,Percent,Total government revenue as a proportion of GDP [17.1.1]
2011,43.3316157280503,Percent,Total government revenue as a proportion of GDP [17.1.1]
2012,43.7502030221352,Percent,Total government revenue as a proportion of GDP [17.1.1]
2013,42.6582565862232,Percent,Total government revenue as a proportion of GDP [17.1.1]
2014,43.808720847713204,Percent,Total government revenue as a proportion of GDP [17.1.1]
2015,43.151083898209706,Percent,Total government revenue as a proportion of GDP [17.1.1]
2016,42.7014657297644,Percent,Total government revenue as a proportion of GDP [17.1.1]
2017,42.9602093929945,Percent,Total government revenue as a proportion of GDP [17.1.1]
2018,43.1099367097622,Percent,Total government revenue as a proportion of GDP [17.1.1]
2003,3519.1,CUR LCU M,"Total government revenue, in local currency [17.1.1]"
2004,3654.7,CUR LCU M,"Total government revenue, in local currency [17.1.1]"
2005,7122.1,CUR LCU M,"Total government revenue, in local currency [17.1.1]"
2006,8586.4,CUR LCU M,"Total government revenue, in local currency [17.1.1]"
2007,9832.7,CUR LCU M,"Total government revenue, in local currency [17.1.1]"
2008,10903.1,CUR LCU M,"Total government revenue, in local currency [17.1.1]"
2009,10342.5,CUR LCU M,"Total government revenue, in local currency [17.1.1]"
2010,10862.6,CUR LCU M,"Total government revenue, in local currency [17.1.1]"
2011,11357.1,CUR LCU M,"Total government revenue, in local currency [17.1.1]"
2012,11459.5,CUR LCU M,"Total government revenue, in local currency [17.1.1]"
2013,11408.1,CUR LCU M,"Total government revenue, in local currency [17.1.1]"
2014,11961.7,CUR LCU M,"Total government revenue, in local currency [17.1.1]"
2015,12335.1,CUR LCU M,"Total government revenue, in local currency [17.1.1]"
2016,12767.3,CUR LCU M,"Total government revenue, in local currency [17.1.1]"
2017,13479.3,CUR LCU M,"Total government revenue, in local currency [17.1.1]"
2018,14402.3,CUR LCU M,"Total government revenue, in local currency [17.1.1]"
