Year,Value,UNIT_MEASURE,SERIES
2000,156.36,HA TH,Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1]
2010,156.36,HA TH,Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1]
2015,156.36,HA TH,Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1]
2016,156.36,HA TH,Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1]
2017,156.36,HA TH,Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1]
2018,156.36,HA TH,Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1]
2019,156.36,HA TH,Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1]
2020,156.36,HA TH,Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1]
2010,-0.04,Percent,Forest area net change rate (%) [15.2.1]
2015,0.54,Percent,Forest area net change rate (%) [15.2.1]
2020,0.25,Percent,Forest area net change rate (%) [15.2.1]
2000,0.0,HA TH,Forest area certified under an independently verified certification scheme (hectares) [15.2.1]
2005,0.0,HA TH,Forest area certified under an independently verified certification scheme (hectares) [15.2.1]
2010,108.69200000000001,HA TH,Forest area certified under an independently verified certification scheme (hectares) [15.2.1]
2015,1496.115,HA TH,Forest area certified under an independently verified certification scheme (hectares) [15.2.1]
2016,1495.526,HA TH,Forest area certified under an independently verified certification scheme (hectares) [15.2.1]
2017,1532.625,HA TH,Forest area certified under an independently verified certification scheme (hectares) [15.2.1]
2018,1654.4589999999998,HA TH,Forest area certified under an independently verified certification scheme (hectares) [15.2.1]
2019,1768.0710000000001,HA TH,Forest area certified under an independently verified certification scheme (hectares) [15.2.1]
