Year,Value,UNIT_MEASURE,SERIES
2006,37.97401,Percent,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]"
2007,37.05676,Percent,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]"
2008,35.5773,Percent,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]"
2009,33.79404,Percent,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]"
2010,32.35771,Percent,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]"
2011,30.884990000000002,Percent,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]"
2012,33.687090000000005,Percent,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]"
2013,31.506490000000003,Percent,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]"
2014,29.27798,Percent,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]"
2015,30.1308,Percent,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]"
2016,30.47912,Percent,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]"
2017,32.500890000000005,Percent,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]"
2018,29.349220000000003,Percent,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]"
2019,30.454659999999997,Percent,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]"
