Year,Value,UNIT_MEASURE,SERIES
2010,0,Number,Number of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1]
2011,0,Number,Number of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1]
2012,0,Number,Number of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1]
2013,0,Number,Number of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1]
2014,0,Number,Number of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1]
2015,0,Number,Number of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1]
2016,0,Number,Number of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1]
2017,0,Number,Number of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1]
2018,0,Number,Number of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1]
2019,0,Number,Number of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1]
2000,62,Number,Plant breeds for which sufficient genetic resources are stored (number) [2.5.1]
2005,64,Number,Plant breeds for which sufficient genetic resources are stored (number) [2.5.1]
2010,211,Number,Plant breeds for which sufficient genetic resources are stored (number) [2.5.1]
2012,434,Number,Plant breeds for which sufficient genetic resources are stored (number) [2.5.1]
2014,434,Number,Plant breeds for which sufficient genetic resources are stored (number) [2.5.1]
2016,434,Number,Plant breeds for which sufficient genetic resources are stored (number) [2.5.1]
2017,479,Number,Plant breeds for which sufficient genetic resources are stored (number) [2.5.1]
2018,479,Number,Plant breeds for which sufficient genetic resources are stored (number) [2.5.1]
2019,479,Number,Plant breeds for which sufficient genetic resources are stored (number) [2.5.1]
