Year,Value,UNIT_MEASURE,SERIES
2000,2111.65,HA TH,Forest area (hectares) [15.1.1]
2010,2102.66,HA TH,Forest area (hectares) [15.1.1]
2015,2160.5,HA TH,Forest area (hectares) [15.1.1]
2016,2176.51,HA TH,Forest area (hectares) [15.1.1]
2017,2187.91,HA TH,Forest area (hectares) [15.1.1]
2018,2187.91,HA TH,Forest area (hectares) [15.1.1]
2019,2187.91,HA TH,Forest area (hectares) [15.1.1]
2020,2187.91,HA TH,Forest area (hectares) [15.1.1]
2000,41.2431640625,Percent,Forest area as a proportion of total land area [15.1.1]
2010,41.067578125,Percent,Forest area as a proportion of total land area [15.1.1]
2015,42.197265625,Percent,Forest area as a proportion of total land area [15.1.1]
2016,42.5099609375,Percent,Forest area as a proportion of total land area [15.1.1]
2017,42.7326171875,Percent,Forest area as a proportion of total land area [15.1.1]
2018,42.7326171875,Percent,Forest area as a proportion of total land area [15.1.1]
2019,42.7326171875,Percent,Forest area as a proportion of total land area [15.1.1]
2020,42.7326171875,Percent,Forest area as a proportion of total land area [15.1.1]
2015,5120.0,HA TH,Land area (hectares) [15.1.1]
