Year,Value,UNIT_MEASURE,SERIES
2000,29.17,Percent,Proportion of medium and high-tech industry value added in total value added [9.b.1]
2001,16.14,Percent,Proportion of medium and high-tech industry value added in total value added [9.b.1]
2002,16.14,Percent,Proportion of medium and high-tech industry value added in total value added [9.b.1]
2003,16.14,Percent,Proportion of medium and high-tech industry value added in total value added [9.b.1]
2004,16.14,Percent,Proportion of medium and high-tech industry value added in total value added [9.b.1]
2005,16.14,Percent,Proportion of medium and high-tech industry value added in total value added [9.b.1]
2006,16.14,Percent,Proportion of medium and high-tech industry value added in total value added [9.b.1]
2007,16.14,Percent,Proportion of medium and high-tech industry value added in total value added [9.b.1]
2008,16.14,Percent,Proportion of medium and high-tech industry value added in total value added [9.b.1]
2009,16.14,Percent,Proportion of medium and high-tech industry value added in total value added [9.b.1]
2010,16.14,Percent,Proportion of medium and high-tech industry value added in total value added [9.b.1]
2011,17.17,Percent,Proportion of medium and high-tech industry value added in total value added [9.b.1]
2012,19.26,Percent,Proportion of medium and high-tech industry value added in total value added [9.b.1]
2013,17.69,Percent,Proportion of medium and high-tech industry value added in total value added [9.b.1]
2014,17.92,Percent,Proportion of medium and high-tech industry value added in total value added [9.b.1]
2015,18.47,Percent,Proportion of medium and high-tech industry value added in total value added [9.b.1]
2016,17.41,Percent,Proportion of medium and high-tech industry value added in total value added [9.b.1]
2017,17.29,Percent,Proportion of medium and high-tech industry value added in total value added [9.b.1]
