Year,Value,UNIT_MEASURE,SERIES
2000,60.0,Percent,Proportion of population covered by at least a 2G mobile network [9.c.1]
2001,80.0,Percent,Proportion of population covered by at least a 2G mobile network [9.c.1]
2002,90.0,Percent,Proportion of population covered by at least a 2G mobile network [9.c.1]
2003,93.0,Percent,Proportion of population covered by at least a 2G mobile network [9.c.1]
2004,95.0,Percent,Proportion of population covered by at least a 2G mobile network [9.c.1]
2005,97.0,Percent,Proportion of population covered by at least a 2G mobile network [9.c.1]
2006,99.0,Percent,Proportion of population covered by at least a 2G mobile network [9.c.1]
2007,99.0,Percent,Proportion of population covered by at least a 2G mobile network [9.c.1]
2008,99.3,Percent,Proportion of population covered by at least a 2G mobile network [9.c.1]
2009,99.5,Percent,Proportion of population covered by at least a 2G mobile network [9.c.1]
2010,99.7,Percent,Proportion of population covered by at least a 2G mobile network [9.c.1]
2011,99.7,Percent,Proportion of population covered by at least a 2G mobile network [9.c.1]
2012,99.8,Percent,Proportion of population covered by at least a 2G mobile network [9.c.1]
2013,99.8,Percent,Proportion of population covered by at least a 2G mobile network [9.c.1]
2014,99.8,Percent,Proportion of population covered by at least a 2G mobile network [9.c.1]
2015,100.0,Percent,Proportion of population covered by at least a 2G mobile network [9.c.1]
2016,100.0,Percent,Proportion of population covered by at least a 2G mobile network [9.c.1]
2017,100.0,Percent,Proportion of population covered by at least a 2G mobile network [9.c.1]
2018,100.0,Percent,Proportion of population covered by at least a 2G mobile network [9.c.1]
2009,25.0,Percent,Proportion of population covered by at least a 3G mobile network [9.c.1]
2010,60.0,Percent,Proportion of population covered by at least a 3G mobile network [9.c.1]
2011,70.0,Percent,Proportion of population covered by at least a 3G mobile network [9.c.1]
2012,72.0,Percent,Proportion of population covered by at least a 3G mobile network [9.c.1]
2013,90.0,Percent,Proportion of population covered by at least a 3G mobile network [9.c.1]
2014,95.0,Percent,Proportion of population covered by at least a 3G mobile network [9.c.1]
2015,96.0,Percent,Proportion of population covered by at least a 3G mobile network [9.c.1]
2016,96.0,Percent,Proportion of population covered by at least a 3G mobile network [9.c.1]
2017,96.0,Percent,Proportion of population covered by at least a 3G mobile network [9.c.1]
2018,96.0,Percent,Proportion of population covered by at least a 3G mobile network [9.c.1]
2014,0.0,Percent,Proportion of population covered by at least a 4G mobile network [9.c.1]
2015,0.0,Percent,Proportion of population covered by at least a 4G mobile network [9.c.1]
2016,0.0,Percent,Proportion of population covered by at least a 4G mobile network [9.c.1]
2017,0.0,Percent,Proportion of population covered by at least a 4G mobile network [9.c.1]
2018,0.0,Percent,Proportion of population covered by at least a 4G mobile network [9.c.1]
