Year,Value,UNIT_MEASURE,SERIES
2000,12.67419,Percent,Debt service as a proportion of exports of goods and services [17.4.1]
2001,11.979000000000001,Percent,Debt service as a proportion of exports of goods and services [17.4.1]
2002,5.93503,Percent,Debt service as a proportion of exports of goods and services [17.4.1]
2003,5.22393,Percent,Debt service as a proportion of exports of goods and services [17.4.1]
2004,4.116230000000001,Percent,Debt service as a proportion of exports of goods and services [17.4.1]
2005,3.58475,Percent,Debt service as a proportion of exports of goods and services [17.4.1]
2006,3.34136,Percent,Debt service as a proportion of exports of goods and services [17.4.1]
2007,3.1481,Percent,Debt service as a proportion of exports of goods and services [17.4.1]
2008,2.70532,Percent,Debt service as a proportion of exports of goods and services [17.4.1]
2009,3.28689,Percent,Debt service as a proportion of exports of goods and services [17.4.1]
2010,3.6289999999999996,Percent,Debt service as a proportion of exports of goods and services [17.4.1]
2011,3.68589,Percent,Debt service as a proportion of exports of goods and services [17.4.1]
2012,4.4527,Percent,Debt service as a proportion of exports of goods and services [17.4.1]
2013,7.053,Percent,Debt service as a proportion of exports of goods and services [17.4.1]
2014,7.730860000000001,Percent,Debt service as a proportion of exports of goods and services [17.4.1]
2015,7.40867,Percent,Debt service as a proportion of exports of goods and services [17.4.1]
2016,6.5877,Percent,Debt service as a proportion of exports of goods and services [17.4.1]
2017,7.560389999999999,Percent,Debt service as a proportion of exports of goods and services [17.4.1]
2018,6.999860000000001,Percent,Debt service as a proportion of exports of goods and services [17.4.1]
