Year,Value,UNIT_MEASURE,SERIES
2000,85,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1]
2001,91,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1]
2002,80,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1]
2003,87,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1]
2004,84,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1]
2005,93,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1]
2006,87,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1]
2007,95,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1]
2008,91,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1]
2009,90,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1]
2010,89,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1]
2011,88,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1]
2012,92,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1]
2013,89,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1]
2014,86,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1]
2015,82,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1]
2016,78,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1]
2017,75,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1]
2018,73,Percent,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1]
2000,74,Percent,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1]
2001,86,Percent,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1]
2002,90,Percent,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1]
2003,85,Percent,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1]
2004,88,Percent,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1]
2005,90,Percent,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1]
2006,93,Percent,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1]
2007,95,Percent,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1]
2008,92,Percent,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1]
2009,88,Percent,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1]
2010,91,Percent,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1]
2011,88,Percent,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1]
2012,94,Percent,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1]
2013,93,Percent,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1]
2014,92,Percent,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1]
2015,88,Percent,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1]
2016,78,Percent,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1]
2017,80,Percent,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1]
2018,76,Percent,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1]
